category name calories
Rice,White rice (1 cup),200,
Rice,Brown rice (1 cup),218,
Bread,Bread (1 slice),70,
Bread,Bun,150
Bread,Ruti (white flour),72
Bread,Ruti (laal atta),60
Bread,Porota (oil fried),250
Bread,Luchi,140
Bread,Naan ruti,312
Bread,Ruti(rice flour),105
Dessert,Payesh (100gm),141
Dessert,Caramel pudding (0.5cup),120
Sweets,Booter halua,170
Sweets,Coconut barfi,190
Dessert,Jorda (0.5cup),300
Snacks,Vapa pitha,600
Dessert,Sweet curd (0.5cup),200
Dessert,Sour curd (0.5cup),60
Dessert,Falooda,300
Dessert,Fruit custurd (1 cup),200
Drinks,Coconut water (330ml),50
Drinks,Borhani (330ml),100
Dairy,Dhakai cheese (2tbsp),40
Dairy,Mozzarella (100gm),280
Sweets,Laddu,220
Sweets,Roshgolla,150
Sweets,Chamcham,170
Sweets,Roshmalai,62
Sweets,Jilapi (large),200
Sweets,Molasses (Goor 1tsp),25
Drinks,Chocolate Ovaltin (1tbsp),20
Drinks,Ovaltin (1tbsp),20
Drinks,Tea (with 1tsp sugar and milk),26
Drinks,Tea (without sugar and milk),2
Drinks,Coffee (with 1tsp sugar and milk),35
Drinks,Coffee (without sugar and milk),2
Drinks,Lacchi,120
Snacks,Toast biscuit (medium size),88
Snacks,Digestive biscuit,74
Snacks,Marie biscuit,20
Snacks,Chanachur(20gm),110
Snacks,Peyajoo/pakora (medium size),150
Snacks,Daalpuri,124
Snacks,Singara,200
Snacks,Somucha,140
Snacks,Aloor chop,200
Snacks,Fuchka (6 pieces),475
Snacks,Chotpoti (0.5cup),500
Snacks,Papor (oil fried),43
Snacks,Energy biscuit,27
Chicken,Chicken liver curry (1 cup),290
Vegetables,Mixed vegetable- boiled (1 cup),50
Vegetables,Mixed vegetable curry (1 cup),100
Vegetables,Mixed vegetable oil fried (1 cup),110
Vegetables,Stir fry mixed vegetable (1 cup),85
Vegetables,Laal shak  (1 cup),100
Vegetables,Boiled spinach/Palong shak (1 cup),41
Vegetables,Eggplant vorta (100gm),70
Vegetables,Aloo vorta (100gm),150
Vegetables,Lady finger/Dherosh vaji (1cup),130
Vegetables,Fried eggplant,114
Rice,Kichuri made with moong daal (1 cup),250
Rice,Polao (1 cup),258
Meat,Chiken biriyani (1 cup),418
Rice,Vegetable biriyani (1 cup),220
Rice,Mutton biriyani (1 cup),470
Rice,Fried rice (1 cup),280
Daal,Mashoor Daal (1 cup),226
Daal,Moong Daal (1 cup),150
Daal,Booter Daal (1 cup),107
Others,Boiled egg,75
Others,Fried egg,140
Others,Sunny side egg,200
Others,Poached egg,80
Chicken,Chicken curry (100gm),220
Chicken,Chicken korma (100gm),250
Fish,Fish curry (100gm),400
Fish,Prawn (chingri) curry (100gm),270
Fish,Fish cutlet,228
Fish,Fish finger,54
Meat,Beef bhuna (1cup),434
Meat,Beef korma (100gm),155
Meat,Beef shaslik,160
Meat,Minced Beef curry (1cup),555
Meat,Mutton korma (100gm),133
Meat,Mutton rezala (100gm),323
Meat,Minced mutton curry (100gm),175
Meat,Beef liver curry (100gm),135
Sweets,Golapjaam,100
Dairy,Milk (330ml),135
Dairy,Skimmed milk (330ml),60
Dairy,Condensed milk (0.5 cup),228
Dairy,Powdered milk (1tbsp),70
Fruits,Apple (medium),60
Fruits,Banana (medium),139
Fruits,Dates,32
Fruits,Grapes (10pieces),35.5
Fruits,Guava (medium),75
Fruits,Mango (small),79
Fruits,Orange (medium),72
Fruits,Papaya (100gm),32
Fruits,Peach (medium),50
Fruits,Pineapple (1 splice),46
Fruits,Pomegranate (small),65
Vegetables,Bitter gaourd/Korola (100gm),20
Vegetables,Carrot (medium/60gm),29
Vegetables,Cabbage (100gm),26.6
Vegetables,Capsicum (100gm),24
Vegetables,Cauliflower (250gm),15
Vegetables,Coriander leaves (100gm),20
Vegetables,Cucumber (medium/150gm),20
Vegetables,Lettuce (100gm),20
Vegetables,Mint leaves (100gm),15
Vegetables,Potato (medium/60gm),26
Vegetables,Radish (small/150gm),120
Vegetables,Sweet Potato (100gm),120
Vegetables,Tomato (medium/60gm),10
Dairy,Butter (1tsp),36
Dairy,Ghee (1tsp),45
Others,Olive oil (1tsp),45
Others,Oil (1tsp),45
Others,White sugar (1tsp),20
Others,Honey (1tsp),15
Daal,Lentil/Daal (1cup),150
Others,Spaghetti (medium/1 cup),225
Others,Corn flakes (1cup),100
Others,Granola (1/4 cup),150
Cake,Muffin (small),80
Cake,Muffin (medium),160
Vegetables,Mashed Potato (0.5cup),120
Snacks,French Fries (110gm),370
Dessert,Regular Icecream (0.5 cup),130
Chicken,Fried cricken (Quarter),480
Chicken,Roasted chicken without skin (quarter),185
Chicken,Chicken wings,79
Snacks,Burger (medium),340
Snacks,Burger (large),600
Snacks,Chicken nuggets,51
Snacks,Tacos,250
Snacks,Lasagna,172
Snacks,Onion ring,25
Snacks,Poutine (1serving/225gm),511
Others,Pizza (1 slice of 12" pizza),200
Cake,Cheesecake (1piece/80gm),257
Cake,Chocolate cake (1piece/138gm),537
Cake,Coffee cake (1piece/90gm),298
Cake,Cupcake,131
Others,Donut,242
Cake,Fruit cake (1piece/43gm),139
Snacks,Pancake,86
Cake,Poundcake (1serving/55g),215
Cake,Red velvet cake (1piece/80gm),294
Cake,Spong cake (1piece/38gm),110
